trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.05, 'e': 0.25499999999999934}",25,10,10.42943473814124,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.05, 'e': 0.24999999999999933}",35,18,-28.364045775527913,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
151,False,"{'a': 0.05, 'e': 0.24499999999999933}",25,-1,-24.52955870685157,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 1}",1
152,False,"{'a': 0.05, 'e': 0.23999999999999932}",20,-1,11.071267163971072,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.05, 'e': 0.23499999999999932}",30,13,13.585190506790127,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.05, 'e': 0.22999999999999932}",25,-9,16.886858998179044,"{0: 30, 1: 2, 2: 2, 3: 0, 4: 0}",0
155,False,"{'a': 0.05, 'e': 0.2249999999999993}",25,-5,40.39199800502768,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.05, 'e': 0.2199999999999993}",20,-4,-20.25854201112784,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",0
157,False,"{'a': 0.05, 'e': 0.2149999999999993}",20,-9,-84.01671740387104,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 2}",0
158,False,"{'a': 0.05, 'e': 0.2099999999999993}",30,22,12.1676900319764,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.05, 'e': 0.2049999999999993}",30,17,20.938356990700605,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.05, 'e': 0.1999999999999993}",20,15,10.734896196901358,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.05, 'e': 0.19499999999999929}",25,12,26.574986818143117,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.05, 'e': 0.18999999999999928}",20,16,8.579511941910173,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.05, 'e': 0.18499999999999928}",20,7,10.348372450389009,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.05, 'e': 0.17999999999999927}",25,11,12.56051683243354,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.05, 'e': 0.17499999999999927}",30,4,9.109240043192601,"{0: 23, 1: 1, 2: 1, 3: 1, 4: 0}",1
166,False,"{'a': 0.05, 'e': 0.16999999999999926}",30,-14,-33.55203280692951,"{0: 40, 1: 0, 2: 2, 3: 0, 4: 2}",0
167,False,"{'a': 0.05, 'e': 0.16499999999999926}",20,3,16.02759022493942,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.05, 'e': 0.15999999999999925}",20,6,23.667642834976963,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.05, 'e': 0.15499999999999925}",20,-2,33.0997229700935,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.05, 'e': 0.14999999999999925}",20,8,21.21029287957068,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.05, 'e': 0.14499999999999924}",20,12,13.927356597597099,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.05, 'e': 0.13999999999999924}",35,11,16.019823275448818,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.05, 'e': 0.13499999999999923}",30,15,-15.69344999352627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.05, 'e': 0.12999999999999923}",25,10,-0.7541008054014782,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.05, 'e': 0.12499999999999922}",20,16,9.574511569975716,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.05, 'e': 0.11999999999999922}",25,15,7.294697036985086,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.05, 'e': 0.11499999999999921}",30,19,20.10903326568445,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.05, 'e': 0.10999999999999921}",20,7,10.681074602761532,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.05, 'e': 0.1049999999999992}",30,-12,25.442876869516635,"{0: 37, 1: 2, 2: 3, 3: 0, 4: 0}",0
180,False,"{'a': 0.05, 'e': 0.0999999999999992}",20,10,-3.718400961127469,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
181,False,"{'a': 0.05, 'e': 0.0949999999999992}",25,19,12.527014742906495,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.05, 'e': 0.08999999999999919}",20,1,33.045341430499896,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
